Symbol,Price,Type,Description,Quantity,Commission,Amount,Date
UBER251017C00087500,10.2,Trade,"UBER Oct 17, 2025 $87.50 Call",-1,0,1019.88,"Aug 19, 2025"
UBER251017C00087500,10.5,Trade,"UBER Oct 17, 2025 $87.50 Call",-1,0,1049.88,"Aug 19, 2025"
GOOGL250919C00207500,4.32,Trade,"GOOGL Sep 19, 2025 $207.50 Call",-4,0,1727.54,"Aug 19, 2025"
TGT250829P00099000,2.63,Trade,"TGT Aug 29, 2025 $99.00 Put",1,0,-263.11,"Aug 19, 2025"
TGT250829P00099000,2.6,Trade,"TGT Aug 29, 2025 $99.00 Put",1,0,-260.11,"Aug 19, 2025"
GOOGL250919P00200000,6.4,Trade,"GOOGL Sep 19, 2025 $200.00 Put",-2,0,1279.76,"Aug 19, 2025"
META250919C00755000,23.55,Trade,"META Sep 19, 2025 $755.00 Call",1,0,-2355.11,"Aug 19, 2025"
TGT250829P00103000,3.85,Trade,"TGT Aug 29, 2025 $103.00 Put",-2,0,769.76,"Aug 19, 2025"
RIOT260116C00012000,2.32,Trade,"RIOT Jan 16, 2026 $12.00 Call",-3,0,695.64,"Aug 19, 2025"
BMNR251017C00050000,10.09,Trade,"BMNR Oct 17, 2025 $50.00 Call",2,0,-2018.23,"Aug 19, 2025"
BMNR250919P00046000,4.92,Trade,"BMNR Sep 19, 2025 $46.00 Put",2,0,-984.23,"Aug 19, 2025"
META250919C00755000,23.4,Trade,"META Sep 19, 2025 $755.00 Call",1,0,-2340.11,"Aug 19, 2025"
RIOT260116C00012000,2.32,Trade,"RIOT Jan 16, 2026 $12.00 Call",-3,0,695.65,"Aug 19, 2025"
TGT251017C00095000,13.75,Trade,"TGT Oct 17, 2025 $95.00 Call",-1,0,1374.88,"Aug 19, 2025"
META250919C00755000,24.95,Trade,"META Sep 19, 2025 $755.00 Call",1,0,-2495.11,"Aug 19, 2025"
ZS250919C00277500,20.04,Trade,"ZS Sep 19, 2025 $277.50 Call",2,0,-4008.23,"Aug 19, 2025"
ZS250919C00277500,21.05,Trade,"ZS Sep 19, 2025 $277.50 Call",2,0,-4210.22,"Aug 19, 2025"
GOOGL250919C00207500,4.32,Trade,"GOOGL Sep 19, 2025 $207.50 Call",-4,0,1727.54,"Aug 19, 2025"
TGT250829P00103000,3.85,Trade,"TGT Aug 29, 2025 $103.00 Put",-2,0,769.76,"Aug 19, 2025"
RKLB251017C00047000,3.95,Trade,"RKLB Oct 17, 2025 $47.00 Call",-4,0,1579.55,"Aug 19, 2025"
ZS250919C00277500,19.77,Trade,"ZS Sep 19, 2025 $277.50 Call",1,0,-1977.11,"Aug 19, 2025"
UBER251017C00087500,10.15,Trade,"UBER Oct 17, 2025 $87.50 Call",-1,0,1014.88,"Aug 19, 2025"
GOOGL250919C00207500,4.3,Trade,"GOOGL Sep 19, 2025 $207.50 Call",-4,0,1719.55,"Aug 19, 2025"
UNH250829P00295000,4.45,Trade,"UNH Aug 29, 2025 $295.00 Put",-1,0,444.88,"Aug 19, 2025"
TGT250829P00103000,3.85,Trade,"TGT Aug 29, 2025 $103.00 Put",-2,0,769.76,"Aug 19, 2025"
TGT250829P00099000,2.58,Trade,"TGT Aug 29, 2025 $99.00 Put",1,0,-258.11,"Aug 19, 2025"
BMNR250919P00046000,4.93,Trade,"BMNR Sep 19, 2025 $46.00 Put",2,0,-986.23,"Aug 19, 2025"
BMNR251017C00050000,10.1,Trade,"BMNR Oct 17, 2025 $50.00 Call",2,0,-2020.23,"Aug 19, 2025"
GOOGL250919P00200000,6.45,Trade,"GOOGL Sep 19, 2025 $200.00 Put",-2,0,1289.76,"Aug 19, 2025"
TGT251017C00095000,13.25,Trade,"TGT Oct 17, 2025 $95.00 Call",-1,0,1324.88,"Aug 19, 2025"
META250919C00755000,24.85,Trade,"META Sep 19, 2025 $755.00 Call",1,0,-2485.11,"Aug 19, 2025"
RIOT260116C00012000,2.31,Trade,"RIOT Jan 16, 2026 $12.00 Call",-3,0,692.65,"Aug 19, 2025"
META250829P00747500,12.6,Trade,"META Aug 29, 2025 $747.50 Put",1,0,-1260.11,"Aug 19, 2025"
META250829P00747500,12.38,Trade,"META Aug 29, 2025 $747.50 Put",1,0,-1238.11,"Aug 19, 2025"
GOOGL250919P00200000,6.4,Trade,"GOOGL Sep 19, 2025 $200.00 Put",-2,0,1279.76,"Aug 19, 2025"
RKLB251017C00047000,3.95,Trade,"RKLB Oct 17, 2025 $47.00 Call",-4,0,1579.55,"Aug 19, 2025"
AMZN250919P00235000,9.03,Trade,"AMZN Sep 19, 2025 $235.00 Put",-1,0,902.88,"Aug 19, 2025"
META250919C00755000,24.83,Trade,"META Sep 19, 2025 $755.00 Call",1,0,-2483.11,"Aug 19, 2025"
RKLB251017C00047000,3.95,Trade,"RKLB Oct 17, 2025 $47.00 Call",-4,0,1579.54,"Aug 19, 2025"
META250829P00747500,12.55,Trade,"META Aug 29, 2025 $747.50 Put",1,0,-1255.11,"Aug 19, 2025"
BMNR250919P00046000,5,Trade,"BMNR Sep 19, 2025 $46.00 Put",2,0,-1000.23,"Aug 19, 2025"
TGT251017C00095000,13.75,Trade,"TGT Oct 17, 2025 $95.00 Call",-1,0,1374.88,"Aug 19, 2025"
RIOT260116C00012000,2.17,Trade,"RIOT Jan 16, 2026 $12.00 Call",12,0,-2605.29,"Aug 18, 2025"
UNH260116C00320000,27.75,Trade,"UNH Jan 16, 2026 $320.00 Call",-1,0,2774.88,"Aug 18, 2025"
RIOT260116C00012000,2.19,Trade,"RIOT Jan 16, 2026 $12.00 Call",12,0,-2629.3,"Aug 18, 2025"
BMNR251017C00050000,14.5,Trade,"BMNR Oct 17, 2025 $50.00 Call",2,0,-2900.22,"Aug 18, 2025"
FSLR250829P00180000,0.63,Trade,"FSLR Aug 29, 2025 $180.00 Put",-1,0,62.88,"Aug 18, 2025"
TSLA250919P00320000,10.04,Trade,"TSLA Sep 19, 2025 $320.00 Put",-1,0,1003.88,"Aug 18, 2025"
UNH260116C00320000,27.5,Trade,"UNH Jan 16, 2026 $320.00 Call",-1,0,2749.88,"Aug 18, 2025"
UNH260116C00320000,27.71,Trade,"UNH Jan 16, 2026 $320.00 Call",-1,0,2770.88,"Aug 18, 2025"
GOOGL250919P00200000,5.35,Trade,"GOOGL Sep 19, 2025 $200.00 Put",2,0,-1070.23,"Aug 18, 2025"
UBER251017C00087500,8.78,Trade,"UBER Oct 17, 2025 $87.50 Call",3,0,-2634.34,"Aug 18, 2025"
RIOT260116C00012000,2.17,Trade,"RIOT Jan 16, 2026 $12.00 Call",12,0,-2605.31,"Aug 18, 2025"
FSLR250829P00180000,0.65,Trade,"FSLR Aug 29, 2025 $180.00 Put",-1,0,64.88,"Aug 18, 2025"
GOOGL250919P00200000,5.4,Trade,"GOOGL Sep 19, 2025 $200.00 Put",2,0,-1080.22,"Aug 18, 2025"
TSLA250919P00320000,10.03,Trade,"TSLA Sep 19, 2025 $320.00 Put",-1,0,1002.88,"Aug 18, 2025"
RKLB251017C00047000,5.85,Trade,"RKLB Oct 17, 2025 $47.00 Call",4,0,-2340.44,"Aug 18, 2025"
RKLB251017C00047000,5.85,Trade,"RKLB Oct 17, 2025 $47.00 Call",4,0,-2340.44,"Aug 18, 2025"
BMNR251017C00050000,14.3,Trade,"BMNR Oct 17, 2025 $50.00 Call",2,0,-2860.23,"Aug 18, 2025"
FSLR250829P00180000,0.52,Trade,"FSLR Aug 29, 2025 $180.00 Put",-1,0,51.88,"Aug 18, 2025"
OSCR251017C00015000,3.14,Trade,"OSCR Oct 17, 2025 $15.00 Call",8,0,-2512.87,"Aug 18, 2025"
BMNR251017C00050000,14.3,Trade,"BMNR Oct 17, 2025 $50.00 Call",2,0,-2860.23,"Aug 18, 2025"
GOOGL250919C00207500,5.54,Trade,"GOOGL Sep 19, 2025 $207.50 Call",4,0,-2216.43,"Aug 18, 2025"
GOOGL250919C00207500,5.55,Trade,"GOOGL Sep 19, 2025 $207.50 Call",4,0,-2220.43,"Aug 18, 2025"
OSCR251017C00015000,3.14,Trade,"OSCR Oct 17, 2025 $15.00 Call",8,0,-2512.87,"Aug 18, 2025"
GOOGL250919P00200000,5.4,Trade,"GOOGL Sep 19, 2025 $200.00 Put",2,0,-1080.23,"Aug 18, 2025"
OSCR251017C00015000,3.14,Trade,"OSCR Oct 17, 2025 $15.00 Call",8,0,-2512.87,"Aug 18, 2025"
GOOGL250919C00207500,5.53,Trade,"GOOGL Sep 19, 2025 $207.50 Call",4,0,-2212.44,"Aug 18, 2025"
RKLB251017C00047000,5.85,Trade,"RKLB Oct 17, 2025 $47.00 Call",4,0,-2340.44,"Aug 18, 2025"
UBER251017C00087500,8.8,Trade,"UBER Oct 17, 2025 $87.50 Call",3,0,-2640.34,"Aug 18, 2025"
UBER251017C00087500,8.79,Trade,"UBER Oct 17, 2025 $87.50 Call",3,0,-2636.33,"Aug 18, 2025"
TSLA250919P00320000,10,Trade,"TSLA Sep 19, 2025 $320.00 Put",-1,0,999.88,"Aug 18, 2025"
META250815P00650000,,Option,META250815P00650000,-1,,0,"Aug 15, 2025"
TGT251017C00095000,12.15,Trade,"TGT Oct 17, 2025 $95.00 Call",2,0,-2430.23,"Aug 15, 2025"
NTNX251017C00065000,8.15,Trade,"NTNX Oct 17, 2025 $65.00 Call",4,0,-3260.44,"Aug 15, 2025"
SLV250919C00034000,1.24,Trade,"SLV Sep 19, 2025 $34.00 Call",20,0,-2482.19,"Aug 15, 2025"
